cps_area,police_force
Cymru/Wales,South Wales
Cymru/Wales,Gwent
Cymru/Wales,North Wales
Cymru/Wales,Dyfed-Powys
East Midlands,Lincolnshire
East Midlands,Leicestershire
East Midlands,Northamptonshire
East Midlands,Nottinghamshire
East Midlands,Derbyshire
East of England,Norfolk
East of England,Suffolk
East of England,Cambridgeshire
East of England,Essex
Mersey-Cheshire,Merseyside
Mersey-Cheshire,Cheshire
North East,Northumbria
North East,Durham
North East,Cleveland
North West,Greater Manchester
North West,Lancashire
North West,Cumbria
South East,Kent
South East,Sussex
South East,Surrey
South West,Devon and Cornwall
South West,Avon and Somerset
South West,Gloucestershire
Thames and Chiltern,Thames Valley
Thames and Chiltern,Bedfordshire
Thames and Chiltern,Hertfordshire
Wessex,Hampshire
Wessex,Wiltshire
Wessex,Dorset
Yorkshire and Humberside,Humberside
Yorkshire and Humberside,South Yorkshire
Yorkshire and Humberside,West Yorkshire
Yorkshire and Humberside,North Yorkshire
London,City of London
London,Metropolitan Police
West Midlands,Staffordshire
West Midlands,Warwickshire
West Midlands,West Mercia
West Midlands,West Midlands
